country,year,indicator,sales_value,gdp,gdp_unit,sector_type
HR,2023,G47_NF_HLTH,99.1,59484.0,CLV10_MEUR,Essential retail
HR,2024,G47,67.7,61760.4,CLV10_MEUR,Total retail
HR,2024,G47_NF_HLTH,80.1,61760.4,CLV10_MEUR,Essential retail
HR,2025,G47,68.97500000000001,63861.9,CLV10_MEUR,Total retail
HR,2025,G47_NF_HLTH,80.425,63861.9,CLV10_MEUR,Essential retail
HU,2016,G47,76.3375,113168.3,CLV10_MEUR,Total retail
HU,2016,G47_NF_HLTH,80.58333333333333,113168.3,CLV10_MEUR,Essential retail
HU,2017,G47,82.3375,117835.6,CLV10_MEUR,Total retail
HU,2017,G47_NF_HLTH,87.53333333333335,117835.6,CLV10_MEUR,Essential retail
HU,2018,G47,71.81666666666666,124441.6,CLV10_MEUR,Total retail
HU,2018,G47_NF_HLTH,63.975,124441.6,CLV10_MEUR,Essential retail
HU,2019,G47,77.05,130759.7,CLV10_MEUR,Total retail
HU,2019,G47_NF_HLTH,67.9,130759.7,CLV10_MEUR,Essential retail
HU,2020,G47,90.84,125086.4,CLV10_MEUR,Total retail
HU,2020,G47_NF_HLTH,69.175,125086.4,CLV10_MEUR,Essential retail
HU,2021,G47,83.56666666666668,134121.3,CLV10_MEUR,Total retail
HU,2022,G47,96.31666666666666,139690.5,CLV10_MEUR,Total retail
HU,2023,G47,113.2,138549.1,CLV10_MEUR,Total retail
HU,2024,G47,60.85,139531.5,CLV10_MEUR,Total retail
HU,2025,G47,63.575,140242.5,CLV10_MEUR,Total retail
IE,2016,G47,106.825,238676.5,CLV10_MEUR,Total retail
IE,2016,G47_NF_HLTH,99.7,238676.5,CLV10_MEUR,Essential retail
IE,2017,G47,112.375,262804.0,CLV10_MEUR,Total retail
IE,2017,G47_NF_HLTH,104.325,262804.0,CLV10_MEUR,Essential retail
IE,2018,G47,111.15,283010.1,CLV10_MEUR,Total retail
IE,2018,G47_NF_HLTH,111.2,283010.1,CLV10_MEUR,Essential retail
IE,2019,G47,115.35,297083.9,CLV10_MEUR,Total retail
IE,2019,G47_NF_HLTH,116.45,297083.9,CLV10_MEUR,Essential retail
IE,2020,G47,117.9,318336.3,CLV10_MEUR,Total retail
IE,2020,G47_NF_HLTH,122.1,318336.3,CLV10_MEUR,Essential retail
IE,2021,G47,111.75,370092.1,CLV10_MEUR,Total retail
IE,2021,G47_NF_HLTH,115.575,370092.1,CLV10_MEUR,Essential retail
IE,2022,G47,82.68333333333332,397890.2,CLV10_MEUR,Total retail
IE,2022,G47_NF_HLTH,82.78333333333333,397890.2,CLV10_MEUR,Essential retail
IE,2023,G47,82.64999999999999,387798.2,CLV10_MEUR,Total retail
IE,2023,G47_NF_HLTH,85.98333333333333,387798.2,CLV10_MEUR,Essential retail
IE,2024,G47,56.875,397878.9,CLV10_MEUR,Total retail
IE,2024,G47_NF_HLTH,73.23333333333333,397878.9,CLV10_MEUR,Essential retail
IE,2025,G47,58.400000000000006,446967.6,CLV10_MEUR,Total retail
